date,predicted_status,predicted_strength,gold_price,gold_ma50,sp500_price,sp500_ma50,regime_ground_truth,price_direction_correct,regime_correct
2025-09-09,OFF,45%,3643.3,3385.84,6512.61,6363.42,AMBIGUOUS,False,
2025-09-22,OFF,45%,3740.7,3447.16,6693.75,6430.37,AMBIGUOUS,False,
2025-10-13,OFF,49%,4108.6,3607.91,6654.72,6538.15,AMBIGUOUS,False,
2025-10-28,OFF,45%,3966.2,3776.45,6890.89,6612.5,AMBIGUOUS,False,
2025-11-07,OFF,46%,3999.4,3874.6,6728.8,6670.29,AMBIGUOUS,False,
2025-11-24,OFF,48%,4091.9,3983.43,6705.12,6713.21,SAFE_HAVEN_CONFIRMED,False,False
2025-12-05,OFF,46%,4212.9,4061.35,6870.4,6744.21,AMBIGUOUS,False,
2025-12-22,OFF,38%,4444.6,4148.64,6878.49,6774.13,AMBIGUOUS,False,
2026-01-05,OFF,45%,4436.9,4186.68,6902.05,6809.06,AMBIGUOUS,False,
2026-01-26,OFF,43%,5079.7,4369.61,6950.23,6840.26,AMBIGUOUS,False,
2026-02-03,OFF,41%,4903.7,4474.69,6917.81,6870.35,AMBIGUOUS,False,
2026-02-26,OFF,46%,5176.5,4744.28,6908.86,6898.62,AMBIGUOUS,False,
2026-03-04,OFF,49%,5120.2,4813.36,6869.5,6905.3,SAFE_HAVEN_CONFIRMED,False,False
2026-03-20,OFF,46%,4570.4,4951.81,6506.48,6857.76,AMBIGUOUS,True,
2026-04-03,OFF,43%,4651.5,4937.27,6582.69,6783.63,AMBIGUOUS,True,
2026-04-27,OFF,38%,4675.4,4862.88,7173.91,6796.09,SAFE_HAVEN_REJECTED,True,True
2026-05-06,OFF,43%,4681.9,4799.91,7365.12,6845.67,SAFE_HAVEN_REJECTED,True,True
2026-05-22,OFF,35%,4521.0,4668.86,7473.47,6987.96,SAFE_HAVEN_REJECTED,True,True
2026-06-08,OFF,35%,4335.9,4623.27,7405.73,7174.53,SAFE_HAVEN_REJECTED,True,True
2026-06-23,OFF,37%,4129.9,4533.46,7365.46,7339.57,SAFE_HAVEN_REJECTED,True,True
2025-09-11,OFF,45%,3636.9,3397.76,6587.47,6377.75,AMBIGUOUS,False,
2025-09-25,OFF,45%,3736.9,3471.47,6604.72,6452.84,AMBIGUOUS,False,
2025-10-07,OFF,43%,3976.6,3551.63,6714.59,6510.45,AMBIGUOUS,False,
2025-10-20,OFF,45%,4336.4,3690.84,6735.13,6570.95,AMBIGUOUS,False,
2025-11-10,OFF,45%,4111.8,3887.37,6832.43,6677.73,AMBIGUOUS,False,
2025-11-28,OFF,45%,4218.3,4013.59,6849.09,6724.98,AMBIGUOUS,False,
2025-12-09,OFF,38%,4206.7,4077.31,6840.51,6751.85,AMBIGUOUS,False,
2025-12-29,OFF,42%,4325.1,4170.91,6905.74,6795.7,AMBIGUOUS,False,
2026-01-01,OFF,47%,4325.6,4174.3,6845.5,6802.55,AMBIGUOUS,False,
2026-01-22,OFF,38%,4908.8,4332.87,6913.35,6836.53,AMBIGUOUS,False,
2026-02-04,OFF,43%,4920.4,4491.97,6882.72,6877.23,AMBIGUOUS,False,
2026-02-23,OFF,42%,5204.7,4689.14,6837.75,6896.02,SAFE_HAVEN_CONFIRMED,False,False
2026-03-10,OFF,48%,5229.7,4868.63,6781.48,6897.16,SAFE_HAVEN_CONFIRMED,False,False
2026-03-30,OFF,47%,4526.0,4939.22,6343.72,6802.15,AMBIGUOUS,True,
2026-04-08,OFF,41%,4749.5,4919.24,6782.81,6768.27,SAFE_HAVEN_REJECTED,True,True
2026-04-28,OFF,43%,4591.5,4854.27,7138.8,6802.14,SAFE_HAVEN_REJECTED,True,True
2026-05-07,OFF,38%,4699.8,4789.78,7337.11,6853.49,SAFE_HAVEN_REJECTED,True,True
2026-05-18,OFF,35%,4552.5,4718.98,7403.05,6934.36,SAFE_HAVEN_REJECTED,True,True
2026-06-09,OFF,35%,4260.0,4618.63,7386.65,7194.89,SAFE_HAVEN_REJECTED,True,True
2026-06-25,OFF,35%,4030.5,4502.53,7357.49,7356.81,SAFE_HAVEN_REJECTED,True,True
