date,predicted_status,predicted_strength,gold_price,gold_ma50,sp500_price,sp500_ma50,regime_ground_truth,price_direction_correct,regime_correct
2025-09-05,OFF,45%,3613.2,3371.58,6481.5,6349.55,AMBIGUOUS,False,
2025-09-16,OFF,45%,3688.9,3418.24,6606.76,6399.14,AMBIGUOUS,False,
2025-10-03,OFF,38%,3880.8,3525.99,6715.79,6496.92,AMBIGUOUS,False,
2025-10-17,OFF,46%,4189.9,3672.89,6664.01,6564.04,AMBIGUOUS,False,
2025-11-05,OFF,45%,3980.3,3851.75,6796.29,6660.97,AMBIGUOUS,False,
2025-11-20,ON,50%,4056.5,3966.69,6538.76,6711.04,SAFE_HAVEN_CONFIRMED,True,True
2025-12-08,OFF,46%,4187.2,4069.59,6846.51,6748.26,AMBIGUOUS,False,
2025-12-16,OFF,38%,4304.5,4117.63,6800.26,6765.06,AMBIGUOUS,False,
2026-01-02,OFF,44%,4314.4,4178.83,6858.47,6805.01,AMBIGUOUS,False,
2026-01-15,OFF,45%,4616.3,4269.24,6944.47,6826.35,AMBIGUOUS,False,
2026-02-02,OFF,43%,4622.5,4458.17,6976.44,6864.84,AMBIGUOUS,False,
2026-02-17,OFF,48%,4882.9,4620.99,6843.22,6894.5,SAFE_HAVEN_CONFIRMED,False,False
2026-03-02,OFF,48%,5294.4,4782.55,6881.62,6901.5,SAFE_HAVEN_CONFIRMED,False,False
2026-03-17,OFF,48%,5001.0,4937.96,6716.09,6878.37,SAFE_HAVEN_CONFIRMED,False,False
2026-04-06,OFF,42%,4656.8,4932.23,6611.83,6777.6,AMBIGUOUS,True,
2026-04-20,OFF,45%,4806.6,4892.23,7109.14,6775.37,SAFE_HAVEN_REJECTED,True,True
2026-05-04,OFF,43%,4519.5,4822.36,7200.75,6827.74,SAFE_HAVEN_REJECTED,True,True
2026-05-20,OFF,35%,4531.3,4693.31,7432.97,6958.54,SAFE_HAVEN_REJECTED,True,True
2026-06-05,OFF,38%,4337.1,4624.06,7383.74,7155.96,SAFE_HAVEN_REJECTED,True,True
2026-06-15,OFF,35%,4328.0,4581.29,7554.29,7267.22,SAFE_HAVEN_REJECTED,True,True
