date,predicted_status,predicted_strength,gold_price,gold_ma50,sp500_price,sp500_ma50,regime_ground_truth,price_direction_correct,regime_correct
2020-01-20,ON,52%,1558.8,1492.6,3329.62,3177.33,AMBIGUOUS,True,
2020-01-27,ON,57%,1576.8,1502.62,3243.63,3198.79,AMBIGUOUS,True,
2020-02-06,ON,55%,1565.1,1518.85,3345.78,3226.99,AMBIGUOUS,True,
2020-02-17,ON,50%,1582.7,1532.01,3380.16,3254.9,AMBIGUOUS,True,
2020-02-21,ON,57%,1644.6,1544.0,3337.75,3274.01,AMBIGUOUS,True,
2020-03-03,ON,66%,1642.1,1566.03,3003.37,3260.22,SAFE_HAVEN_CONFIRMED,True,True
2020-03-09,ON,66%,1674.5,1580.39,2746.56,3240.2,SAFE_HAVEN_CONFIRMED,True,True
2020-03-18,ON,58%,1477.3,1584.32,2398.1,3149.35,AMBIGUOUS,False,
2020-03-25,ON,66%,1632.3,1585.03,2475.56,3060.47,SAFE_HAVEN_CONFIRMED,True,True
2020-04-01,ON,72%,1578.2,1591.01,2470.5,2986.75,AMBIGUOUS,False,
2020-04-09,ON,72%,1736.2,1602.93,2789.82,2909.59,SAFE_HAVEN_CONFIRMED,True,True
2020-04-21,ON,66%,1678.2,1623.58,2736.56,2840.82,SAFE_HAVEN_CONFIRMED,True,True
2020-04-29,ON,64%,1703.4,1640.5,2939.51,2778.85,AMBIGUOUS,True,
2020-05-06,ON,66%,1684.2,1646.22,2848.42,2735.88,AMBIGUOUS,True,
2020-05-12,ON,66%,1704.4,1654.12,2870.12,2725.31,AMBIGUOUS,True,
2020-05-25,ON,51%,1734.6,1668.17,2955.45,2731.47,AMBIGUOUS,True,
2020-06-01,ON,66%,1737.8,1690.58,3055.73,2785.95,AMBIGUOUS,True,
2020-06-11,ON,66%,1732.0,1707.65,3002.1,2891.82,AMBIGUOUS,True,
2020-06-17,ON,66%,1729.2,1715.53,3113.49,2935.75,AMBIGUOUS,True,
2020-06-25,ON,66%,1762.1,1720.17,3083.76,2975.87,AMBIGUOUS,True,
