date,predicted_status,predicted_strength,gold_price,gold_ma50,sp500_price,sp500_ma50,regime_ground_truth,price_direction_correct,regime_correct
2008-08-25,OFF,49%,819.8,896.1,1266.84,1278.82,AMBIGUOUS,True,
2008-09-01,ON,50%,829.3,891.1,1282.83,1273.72,SAFE_HAVEN_REJECTED,False,False
2008-09-11,ON,50%,741.3,871.51,1249.05,1265.85,AMBIGUOUS,False,
2008-09-19,ON,53%,860.6,858.02,1255.08,1260.39,SAFE_HAVEN_CONFIRMED,True,True
2008-10-07,ON,50%,878.4,839.67,996.23,1234.22,SAFE_HAVEN_CONFIRMED,True,True
2008-10-15,ON,50%,835.5,834.3,907.84,1196.1,SAFE_HAVEN_CONFIRMED,True,True
2008-10-31,ON,50%,716.8,816.23,968.75,1110.71,AMBIGUOUS,False,
2008-11-11,ON,60%,732.0,804.27,898.95,1062.82,AMBIGUOUS,False,
2008-11-24,ON,50%,819.4,798.47,851.81,990.54,SAFE_HAVEN_CONFIRMED,True,True
2008-12-04,ON,50%,763.8,788.0,845.22,942.73,AMBIGUOUS,False,
2008-12-12,OFF,46%,818.9,777.97,879.73,909.86,SAFE_HAVEN_CONFIRMED,False,False
2008-12-22,OFF,46%,846.2,775.48,871.63,897.55,SAFE_HAVEN_CONFIRMED,False,False
2009-01-06,OFF,43%,865.4,789.2,934.7,887.94,AMBIGUOUS,False,
2009-01-16,ON,54%,839.3,804.11,850.12,877.83,SAFE_HAVEN_CONFIRMED,True,True
2009-01-27,ON,55%,899.2,821.4,845.71,868.39,SAFE_HAVEN_CONFIRMED,True,True
2009-02-10,ON,58%,913.7,849.6,827.16,868.44,SAFE_HAVEN_CONFIRMED,True,True
2009-02-17,ON,58%,967.0,862.8,789.17,865.49,SAFE_HAVEN_CONFIRMED,True,True
2009-03-02,ON,52%,939.0,893.3,700.82,842.57,SAFE_HAVEN_CONFIRMED,True,True
2009-03-16,ON,58%,921.6,905.2,753.89,809.31,SAFE_HAVEN_CONFIRMED,True,True
2009-03-25,ON,53%,935.4,916.38,813.88,793.25,AMBIGUOUS,True,
